Dec-10-2022 22:56:28 | DEBUG | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\utils\log_util.py | 3904 | MainProcess | log_util.py | configure_logger | 67 | The logger configured | flask_service
Dec-10-2022 22:56:29 | DEBUG | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\utils\log_util.py | 15992 | MainProcess | log_util.py | configure_logger | 67 | The logger configured | flask_service
Dec-10-2022 22:56:32 | DEBUG | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\utils\log_util.py | 3344 | MainProcess | log_util.py | configure_logger | 67 | The logger configured | flask_service
Dec-10-2022 22:56:33 | DEBUG | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\utils\log_util.py | 9404 | MainProcess | log_util.py | configure_logger | 67 | The logger configured | flask_service
Dec-10-2022 22:56:39 | INFO | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\apis\crud_app.py | 9404 | MainProcess | crud_app.py | crud_read | 11 | Request received for endpoint:/v1 | flask_service
Dec-10-2022 22:56:39 | INFO | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\apis\crud_app.py | 9404 | MainProcess | crud_app.py | crud_read | 13 | Request completed for endpoint:/v1 | flask_service
Dec-10-2022 22:56:44 | INFO | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\apis\crud_app.py | 9404 | MainProcess | crud_app.py | crud_read | 11 | Request received for endpoint:/v1 | flask_service
Dec-10-2022 22:56:44 | INFO | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\apis\crud_app.py | 9404 | MainProcess | crud_app.py | crud_read | 13 | Request completed for endpoint:/v1 | flask_service
Dec-10-2022 22:57:23 | DEBUG | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\utils\log_util.py | 4464 | MainProcess | log_util.py | configure_logger | 67 | The logger configured | flask_service
Dec-10-2022 22:57:26 | DEBUG | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\utils\log_util.py | 24488 | MainProcess | log_util.py | configure_logger | 67 | The logger configured | flask_service
Dec-10-2022 22:57:27 | DEBUG | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\utils\log_util.py | 16200 | MainProcess | log_util.py | configure_logger | 67 | The logger configured | flask_service
Dec-10-2022 22:57:30 | INFO | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\apis\crud_app.py | 16200 | MainProcess | crud_app.py | crud_read | 11 | Request received for endpoint:/v1 | flask_service
Dec-10-2022 22:57:30 | INFO | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\apis\crud_app.py | 16200 | MainProcess | crud_app.py | crud_read | 13 | Request completed for endpoint:/v1 | flask_service
Dec-10-2022 22:57:48 | DEBUG | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\utils\log_util.py | 7840 | MainProcess | log_util.py | configure_logger | 67 | The logger configured | flask_service
Dec-10-2022 22:57:50 | DEBUG | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\utils\log_util.py | 21824 | MainProcess | log_util.py | configure_logger | 67 | The logger configured | flask_service
Dec-10-2022 22:57:52 | INFO | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\apis\crud_app.py | 21824 | MainProcess | crud_app.py | crud_read | 11 | Request received for endpoint:/v1 | flask_service
Dec-10-2022 22:57:52 | INFO | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\apis\crud_app.py | 21824 | MainProcess | crud_app.py | crud_read | 13 | Request completed for endpoint:/v1 | flask_service
Dec-10-2022 22:57:57 | DEBUG | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\utils\log_util.py | 10680 | MainProcess | log_util.py | configure_logger | 67 | The logger configured | flask_service
Dec-10-2022 22:58:00 | DEBUG | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\utils\log_util.py | 16484 | MainProcess | log_util.py | configure_logger | 67 | The logger configured | flask_service
Dec-10-2022 22:58:01 | DEBUG | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\utils\log_util.py | 18708 | MainProcess | log_util.py | configure_logger | 67 | The logger configured | flask_service
Dec-10-2022 22:58:04 | INFO | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\apis\crud_app.py | 18708 | MainProcess | crud_app.py | crud_read | 11 | Request received for endpoint:/v1 | flask_service
Dec-10-2022 22:58:04 | INFO | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\apis\crud_app.py | 18708 | MainProcess | crud_app.py | crud_read | 13 | Request completed for endpoint:/v1 | flask_service
Dec-10-2022 22:58:05 | INFO | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\apis\crud_app.py | 18708 | MainProcess | crud_app.py | crud_read | 11 | Request received for endpoint:/v1 | flask_service
Dec-10-2022 22:58:05 | INFO | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\apis\crud_app.py | 18708 | MainProcess | crud_app.py | crud_read | 13 | Request completed for endpoint:/v1 | flask_service
Dec-10-2022 22:59:16 | DEBUG | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\utils\log_util.py | 24332 | MainProcess | log_util.py | configure_logger | 67 | The logger configured | flask_service
Dec-10-2022 22:59:17 | DEBUG | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\utils\log_util.py | 4352 | MainProcess | log_util.py | configure_logger | 67 | The logger configured | flask_service
Dec-10-2022 22:59:22 | INFO | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\apis\crud_app.py | 4352 | MainProcess | crud_app.py | crud_read | 11 | Request received for endpoint:/v1 | flask_service
Dec-10-2022 22:59:22 | INFO | C:\Users\mukesh\Downloads\Python-Flask\FlaskProjectGitHub\src\apis\crud_app.py | 4352 | MainProcess | crud_app.py | crud_read | 13 | Request completed for endpoint:/v1 | flask_service
